"","fips","name","votes","absentee_votes","reporting","precincts","absentee_method","eevp","tot_exp_vote","eevp_value","eevp_display","eevp_source","turnout_stage","absentee_count_progress","absentee_outstanding","absentee_max_ballots","provisional_outstanding","provisional_count_progress","results_trumpd","results_bidenj","results_jorgensenj","results_venturaj","results_blankenshipd","results_pierceb","results_de_la_fuenter","results_write_ins","results_absentee_trumpd","results_absentee_bidenj","results_absentee_jorgensenj","results_absentee_venturaj","results_absentee_blankenshipd","results_absentee_pierceb","results_absentee_de_la_fuenter","results_absentee_write_ins","last_updated","leader_margin_value","leader_margin_display","leader_margin_name_display","leader_party_id","margin2020","votes2016","margin2016","state","retrieved_time","results_hawkinsh","results_absentee_hawkinsh","votes2012","margin2012","results_westk","results_kennedya","results_la_rivag","results_absentee_westk","results_absentee_kennedya","results_absentee_la_rivag","results_carrollb","results_absentee_carrollb","results_simmonsj","results_boddiep","results_hammonsb","results_hoeflingt","results_absentee_simmonsj","results_absentee_boddiep","results_absentee_hammonsb","results_absentee_hoeflingt","results_collinsp","results_absentee_collinsp","results_kingr","results_absentee_kingr","results_segalj","results_absentee_segalj","results_gammonc","results_myersj","results_absentee_gammonc","results_absentee_myersj","results_paigeh","results_lafontainec","results_duncanr","results_mccormick","results_huberb","results_swingg","results_kopitkek","results_scalfz","results_absentee_paigeh","results_absentee_lafontainec","results_absentee_duncanr","results_absentee_mccormick","results_absentee_huberb","results_absentee_swingg","results_absentee_kopitkek","results_absentee_scalfz","results_hunterd","results_absentee_hunterd","results_none_of_these_candidates","results_absentee_none_of_these_candidates","results_tittles","results_absentee_tittles","results_charlesm","results_mchughj","results_jacob_fambrop","results_scottj","results_kishorej","results_absentee_charlesm","results_absentee_mchughj","results_absentee_jacob_fambrop","results_absentee_scottj","results_absentee_kishorej"
"1",2901,"ED 1",7311,3667,9,9,"Released as a separate subtotal as first report of the night",96,7634,"96%","96% reported","edison",2,"unknown",NA,4000,NA,NA,3509,3476,216,50,34,24,2,NA,1412,2137,68,27,18,5,0,NA,"2020-11-24T13:23:01Z",0.45137,"R+0.45","Trump +0.45","republican",0.45137,6638,9.1,"alaska","2020-11-28T00:46:11.822075Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2910,"ED 10",11190,5697,11,11,"Released as a separate subtotal as first report of the night",100,10396,">98%",">98% reported","edison",2,"unknown",NA,4000,NA,NA,8069,2724,286,64,22,19,6,NA,3635,1900,119,23,11,8,1,NA,"2020-11-24T13:23:20Z",47.76586,"R+48","Trump +48","republican",47.76586,9040,49.2,"alaska","2020-11-28T00:46:11.822075Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2911,"ED 11",10623,5951,9,9,"Released as a separate subtotal as first report of the night",95,11142,"95%","95% reported","edison",2,"unknown",NA,4000,NA,NA,7092,3129,269,88,22,17,6,NA,3491,2245,144,48,13,6,4,NA,"2020-11-24T13:23:21Z",37.30585,"R+37","Trump +37","republican",37.30585,9689,44.4,"alaska","2020-11-28T00:46:11.822075Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2912,"ED 12",11213,5715,7,7,"Released as a separate subtotal as first report of the night",100,10974,">98%",">98% reported","edison",2,"unknown",NA,4000,NA,NA,7871,2954,288,54,28,15,3,NA,3428,2113,129,24,15,6,0,NA,"2020-11-24T13:21:45Z",43.85089,"R+44","Trump +44","republican",43.85089,9543,49.3,"alaska","2020-11-28T00:46:11.822075Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2913,"ED 13",7707,4425,6,6,"Released as a separate subtotal as first report of the night",100,7513,">98%",">98% reported","edison",2,"unknown",NA,4000,NA,NA,4649,2663,308,40,16,25,6,NA,2284,1941,155,23,6,14,2,NA,"2020-11-24T13:21:51Z",25.76878,"R+26","Trump +26","republican",25.76878,6533,35.9,"alaska","2020-11-28T00:46:11.822075Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2914,"ED 14",11437,7185,7,7,"Released as a separate subtotal as first report of the night",95,11983,"95%","95% reported","edison",2,"unknown",NA,4000,NA,NA,6711,4260,356,49,45,10,6,NA,3595,3327,197,29,28,5,4,NA,"2020-11-24T13:21:54Z",21.43045,"R+21","Trump +21","republican",21.43045,10420,28.2,"alaska","2020-11-28T00:46:11.822075Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2915,"ED 15",5538,3183,5,5,"Released as a separate subtotal as first report of the night",97,5729,"97%","97% reported","edison",2,"unknown",NA,4000,NA,NA,2658,2614,197,36,10,13,10,NA,1308,1740,105,15,6,4,5,NA,"2020-11-24T13:21:56Z",0.79451,"R+0.79","Trump +0.79","republican",0.79451,4982,14,"alaska","2020-11-28T00:46:11.822075Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2916,"ED 16",8121,4635,7,7,"Released as a separate subtotal as first report of the night",95,8551,"95%","95% reported","edison",2,"unknown",NA,4000,NA,NA,3519,4273,211,64,27,15,12,NA,1506,2972,91,33,17,8,8,NA,"2020-11-24T13:21:59Z",9.28457,"D+9","Biden +9","democrat",-9.28457,7436,-1.2,"alaska","2020-11-28T00:46:11.822075Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2917,"ED 17",7159,4445,6,7,"Released as a separate subtotal as first report of the night",92,7806,"92%","92% reported","edison",2,"unknown",NA,4000,NA,NA,2774,4095,182,64,18,17,9,NA,1310,2980,101,30,10,8,6,NA,"2020-11-24T13:22:02Z",18.4523,"D+18","Biden +18","democrat",-18.4523,6788,-9.9,"alaska","2020-11-28T00:46:11.822075Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2918,"ED 18",7711,5127,9,10,"Released as a separate subtotal as first report of the night",91,8512,"91%","91% reported","edison",2,"unknown",NA,4000,NA,NA,2754,4679,157,78,24,15,4,NA,1454,3517,91,46,11,5,3,NA,"2020-11-24T13:22:03Z",24.96434,"D+25","Biden +25","democrat",-24.96434,7402,-16.5,"alaska","2020-11-28T00:46:11.822075Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
